org_id,org_name,concept_id
1,The Messersmith Group,11721
6,Sankyo Pharma,10252
7,American College Of Obstetricians And Gynecologists District Ix The,586
8,California State Association Of Counties,5
9,Associated General Contractors Of California,1025
10,California Association Of Harbor Masters And Port Captains,1918
11,California Marine Affairs And Navigation Conference,2576
12,Central California Chamber Alliance,3402
13,California Mining Association,2594
14,California Marine Parks And Harbors Association,2577
15,Lennox International Inc.,7285
16,Marina Recreation Association,7680
17,Nissan North America,8513
18,The First American Corporation,11682
19,Ncma Inc.,8414
20,Turlock Irrigation District,12016
21,Ust Public Affairs Inc.,12341
22,Western Boaters Safety Group,12674
23,Western Marine Association Inc.,12710
24,Planning And Conservation League,9300
25,California Newspaper Publishers Association,2640
26,United Farm Workers Of America Afl-Cio,12187
27,American Cancer Society California Division Inc.,567
28,California Faculty Association,2361
29,Union Of American Physicians And Dentists,12160
30,Casino Morongo Of The Morongo Band Of Mission Indians,3272
31,Pharmacia,9201
32,California Children'S Lobby The,2146
33,3M,54
34,Allen Group, The,425
35,3M Traffic Control Materials Division,57
36,Apple Valley, Town Of,879
37,California Association Of Highway Patrolmen,1928
38,California Association Of Competitive Telecommunication Companies (Caltel),1900
39,California Association Of Professional Scientists,1976
40,California Athletic Trainers Association,2022
41,Cdf Firefighters,3318
42,California Self Insurers' Security Fund,2870
43,American International Group Inc. And Its Subsidiaries,669
44,California Rural Legal Assistance Foundation, Inc.,2845
45,Ford Motor Company,5579
46,Waste Management, Inc. & Affiliated Entities,12575
47,Clean Power Campaign,3823
48,Barona Band Of Mission Indians,1298
49,Council Of Uc Faculty Associations,4278
50,California Healthcare Association And Affiliated Entities,2439
52,Trw,11996
53,Pharmaceutical Research And Manufacturers Of America,9199
54,Qwest,9604
55,California Association Of Small Employer Health Plans,2004
56,Insurance Brokers And Agents Of The West,6599
57,Liberty Mutual Group,7312
58,International Franchise Association (Ifa),6665
59,Insurance Services Office, Inc.,6603
60,Insurance Agents And Brokers Legislative Council,6597
62,Driving School Association Of California Inc.,4768
63,American Heart Association,658
64,Government Affairs Consulting,5922
65,California Squid Fishermen's Association,2919
66,California Nurses Association,2664
67,Protection And Advocacy Inc,9514
68,Alliance Of Automobile Manufacturers Inc.,443
69,Automated Power Exchange,1215
70,Fpl Energy Inc.,5622
71,Kaiser Foundation Health Plan Inc.,6895
73,Pacific Gas & Electric Company,8937
74,Runyon Saltzman & Einhorn Inc.,9954
75,Stocker Resources LP A Limited Partnership By Stocker Resources Inc. General Partner,11061
78,Shapell Industries Inc.,10564
79,Viejas Band Of Kumeyaay Mission Indians,12471
82,California Dvbe Alliance,2339
83,National Audubon Society,8277
84,Japan Government Of,6769
85,City Of Chula Vista,3667
86,Compline LLC,4084
87,Associated General Contractors-San Diego Chapter,1030
88,California Business Roundtable,2086
89,California Chamber Of Commerce,4
90,Tejon Ranchcorp,11332
91,Ttx Company,12000
92,California Operators Association,2682
93,California Surety Federation,3030
94,Caterpillar Inc.,3286
95,Check Into Cash Inc.,3476
